weight,sentence,evidence,question,word,final,page,
0.00,0,"{'confidence': 0.0, 'final': False}",128,17,FALSE,Stare decisis,
0.00,0,"{'confidence': 0.0, 'final': False}",128,23,FALSE,"""Stare decisis compels adherence",
0.00,1,"{'confidence': 0.0, 'final': False}",128,18,FALSE,"""Justice waits for no one""",
0.00,1,"{'confidence': 0.0, 'final': False}",128,18,FALSE,"""Justice waits for no one""",
0.00,2,"{'confidence': 0.0, 'final': False}",128,18,FALSE,no answer,
0.00,2,"{'confidence': 0.0, 'final': False}",128,36,FALSE,no answer,
0.00,2,"{'confidence': 0.0, 'final': False}",128,40,FALSE,no answer,
0.00,3,"{'confidence': 0.0, 'final': False}",128,22,FALSE,no answer,
0.00,3,"{'confidence': 0.0, 'final': False}",128,25,FALSE, no answer,
0.00,3,"{'confidence': 0.0, 'final': False}",128,25,FALSE,no answer,
0.00,0,"{'confidence': 0.0, 'final': False}",129,17,FALSE,"team, F̩lix ""xQc""",
0.00,0,"{'confidence': 0.0, 'final': False}",129,24,FALSE,no answer,
0.00,1,"{'confidence': 0.0, 'final': False}",129,17,FALSE,no answer,
0.00,1,"{'confidence': 0.0, 'final': False}",129,33,FALSE,Master,
0.00,1,"{'confidence': 0.0, 'final': False}",129,39,FALSE,'The Master of Sh,
0.00,2,"{'confidence': 0.0, 'final': False}",129,17,FALSE,Armed with Shadow,
0.00,2,"{'confidence': 0.0, 'final': False}",129,19,FALSE,no answer,
0.00,3,"{'confidence': 0.0, 'final': False}",129,16,FALSE,"Ahmed ""Jackeywonky"" White,",
0.00,3,"{'confidence': 0.0, 'final': False}",129,25,FALSE,no answer,
1.00,4,"{'confidence': 1.0, 'final': True}",129,14,TRUE,League of Legends,
1.00,4,"{'confidence': 1.0, 'final': True}",129,14,TRUE,League of Legends,
0.00,0,"{'confidence': 0.0, 'final': False}",125,20,FALSE,Will Smith,
0.00,0,"{'confidence': 0.0, 'final': False}",125,24,FALSE,"Compton, Quincy Jones says that there",
0.00,1,"{'confidence': 0.0, 'final': False}",125,18,FALSE,"""Compton, there ain't no city",
0.00,1,"{'confidence': 0.0, 'final': False}",125,34,FALSE,"Compton, Tupac Shakur,",
0.00,2,"{'confidence': 0.0, 'final': False}",125,17,FALSE,Boyz n the,
0.00,2,"{'confidence': 0.0, 'final': False}",125,21,FALSE,I Am Legend,
0.00,3,"{'confidence': 0.0, 'final': False}",125,17,FALSE,"""Without a City",
0.44,4,"{'confidence': 0.44349292493843356, 'final': True}",125,16,TRUE,Common,
0.46,4,"{'confidence': 0.4602220509482879, 'final': True}",125,20,TRUE,Common,
0.17,5,"{'confidence': 0.17187623664086182, 'final': False}",125,11,FALSE,Common,
0.17,5,"{'confidence': 0.17187623664086182, 'final': False}",125,11,FALSE,Common,
0.00,0,"{'confidence': 0.0, 'final': False}",126,17,FALSE,"""The Evolution of Music"" by Kany",
0.00,1,"{'confidence': 0.0, 'final': False}",126,17,FALSE,"""The Way I Are"" (Remix)",
0.00,1,"{'confidence': 0.0, 'final': False}",126,29,FALSE,"""The Weeknd - Blinding Lights""",
0.00,2,"{'confidence': 0.0, 'final': False}",126,17,FALSE,KFC (Kentucky Fried Chicken),
0.00,2,"{'confidence': 0.0, 'final': False}",126,22,FALSE,Sugarhill Gang featuring Grandmaster Flash and the,
0.00,3,"{'confidence': 0.0, 'final': False}",126,16,FALSE,Monday Night Cupids,
0.00,3,"{'confidence': 0.0, 'final': False}",126,16,FALSE,Monday Night Cupids,
0.00,0,"{'confidence': 0.0, 'final': False}",127,18,FALSE,(Note,
0.00,0,"{'confidence': 0.0, 'final': False}",127,28,FALSE,The Incredible Hulk,
0.00,1,"{'confidence': 0.0, 'final': False}",127,19,FALSE,Ste,
0.00,1,"{'confidence': 0.0, 'final': False}",127,32,FALSE,Kevin Hart,
0.00,2,"{'confidence': 0.0, 'final': False}",127,19,FALSE,Kevin Hart,
0.00,2,"{'confidence': 0.0, 'final': False}",127,22,FALSE,Kevin Hart,
0.00,3,"{'confidence': 0.0, 'final': False}",127,12,FALSE,PewDiePie,
0.00,3,"{'confidence': 0.0, 'final': False}",127,12,FALSE,PewDiePie,