final,evidence,question,weight,sentence,word,page
True,"{'confidence': 0.9017827966573895, 'final': True}",165,0.90,0,1, 这个王朝被前邮政工人李自成领导的农民起义推翻了。
True,"{'confidence': 0.7346629628206516, 'final': True}",165,0.73,1,1, 朱元璋建立的明朝被李自成领导的农民起义推翻了。
True,"{'confidence': 0.7633725510825708, 'final': True}",165,0.76,2,3, 朱元璋建立了明朝，后来成为洪武皇帝。永乐皇帝派遣了一系列的宝船队，由穆斯林指挥的间谍网络。
True,"{'confidence': 0.7220016996096081, 'final': True}",165,0.72,3,1, 朱元璋建立的明朝被李自成领导的农民起义推翻。
True,"{'confidence': 0.9125688513013985, 'final': True}",165,0.91,4,2, 朱元璋创立了这个王朝，后来成为洪武皇帝。 一个间谍网络是由这个朝代的永乐皇帝，在穆斯林的指挥下派遣了一系列的宝船队宦官郑和。这个王朝是汉人统治的最后一个王朝。为了10分，这是元朝之后的中国倒数第二个王朝，以花瓶闻名。这个王朝被前邮政工人李自成领的叛乱推翻了。
True,"{'confidence': 0.9125688513013985, 'final': True}",165,0.91,4,2, 朱元璋创立了这个王朝，后来成为洪武皇帝。 一个间谍网络是由这个朝代的永乐皇帝，在穆斯林的指挥下派遣了一系列的宝船队宦官郑和。这个王朝是汉人统治的最后一个王朝。为了10分，这是元朝之后的中国倒数第二个王朝，以花瓶闻名。这个王朝被前邮政工人李自成领的叛乱推翻了。
True,"{'confidence': 0.4344032585062252, 'final': True}",166,0.43,0,1, 这部电影很好看。
True,"{'confidence': 0.5596110177113169, 'final': True}",166,0.56,1,1, 这个问题是《卡门》中托尔克马德的独唱《托尔克马德之歌》中的一句歌词。
True,"{'confidence': 0.8496734754969402, 'final': True}",166,0.85,2,1, 这部歌剧中的一个角色提出了这样一个问题：“我们所做的事情有多少是好的？”  在最后的咏叹调中，“我老了，无法入睡。”
True,"{'confidence': 0.5462078804995194, 'final': True}",166,0.55,3,1, 《卡门》的主题是关于人生的意义和价值的探索。卡门是一个充满活力和热情的年轻女子，她追求爱情和自由，但最终被社会的不公正和不合理的制度所摧毁。她的故事表达了对人生的不满和不满足，表达了对人生的不满和不满足。卡门的经历让我们思考人生的意义和价值，以及我们应该如何面对生活中的挑战和不确定性。
True,"{'confidence': 0.571397710210032, 'final': True}",166,0.57,4,1, 《茶花女》是一部关于青春、爱情和死亡的歌剧。它的主题是关于一个名叫玛丽的年轻女孩，她在一个富裕的家庭中长大，但她的生活却充满了痛苦和不满足。玛丽被迫嫁给一个比她年长的男人，她的青春和爱情都被剥夺了。然而，在她生命的最后时刻，她发现了真爱，并在最后的咏叹调中唱着《三戒八项》，表达了对生活的不满和
True,"{'confidence': 0.4694327575590754, 'final': True}",166,0.47,5,2, 《茶花女》是一部由法国作曲家让·米歇尔·卡尔曼·巴克莱（Jean-Michel Carleman-Bacrie）创作的歌剧。它的首演是在1880年2月17日在巴黎歌剧院上演。该剧的主题是关于一位名叫玛丽·德·鲁日的年轻女子，她被迫嫁给比她年长的富有男子，但她却爱上了一个年轻的贵族。该剧的音乐风格是浪漫主义风格，使用了大量
True,"{'confidence': 0.39762803890370363, 'final': True}",166,0.40,6,4, 请问你是哪个学期的作业？
True,"{'confidence': 0.39762803890370363, 'final': True}",166,0.40,6,4, 请问你是哪个学期的作业？
True,"{'confidence': 0.4344032585062252, 'final': True}",167,0.43,0,1, 这部电影很好看。
True,"{'confidence': 0.9166317023159103, 'final': True}",167,0.92,1,1, 这部小说的第一部续集以一个故事开头，其中一只“棕色蚂蚁”避开了它“认识了亿万年”的蜘蛛网。
True,"{'confidence': 0.48822174158431136, 'final': True}",167,0.49,2,1, 请问你是谁
True,"{'confidence': 0.9547896819805183, 'final': True}",167,0.95,3,1, 这部小说的第一部续集以一个故事开头，其中一只“棕色蚂蚁”避开了它“认识了亿万年”的蜘蛛网。 这部小说的续集描述了“蚊子舰队”的形成，并讲述了四名被选中参加“面壁者计划”的人的故事。 这部小说本身描述了对一艘名为“审判日”的船只的袭击，袭击杀死了古怪的迈克·埃文斯。
True,"{'confidence': 0.9595324249230991, 'final': True}",167,0.96,4,2, 这部小说的第一部续集以一个故事开头，其中一只“棕色蚂蚁”避开了它“认识了亿万年”的蜘蛛网。 这部小说的续集描述了“蚊子舰队”的形成，并讲述了四名被选中参加“面壁者计划”的人的故事。 这部小说本身描述了对一艘名为“审判日”的船只的袭击，袭击杀死了古怪的迈克·埃文斯。 在描述了诺伯特·韦纳如何
True,"{'confidence': 0.5084332222671814, 'final': True}",167,0.51,5,1, 请问你在说什么？
True,"{'confidence': 0.6349307201183492, 'final': True}",167,0.63,6,1, 《黑暗森林》是中国科幻作家刘慈欣的作品，属于《地球过去的记忆》三部曲的第一部。它描述了一个虚构的未来世界，人类已经 colonized 太空，并面临着来自外星文明的威胁。小说的主角是“面壁者”计划的四名成员，他们被选中进行“脱水”（Dewarization）过程，以便能够生存在“混乱的时代”（Chaos Era）。在这过程中，他们获得了对外星文明的知识，并
True,"{'confidence': 0.6231346748632784, 'final': True}",167,0.62,7,1," 作者：刘慈欣
类型：科幻小说
出版年份：2014年
页数：400页
定价：39.8元
装帧：平装
丛书：《地球过去的记忆》三部曲
ISBN：9787532762721"
True,"{'confidence': 0.8322373759178061, 'final': True}",167,0.83,8,3, 《三体》系列小说的第一部续集《黑暗森林》开始了一个新的故事，描述了“蚊子舰队”的形成和四名被选中参加“面壁者计划”的人的故事。 这部小说本身讲述了对一艘名为“审判日”的船只的袭击，导致了古怪的迈克·埃文斯的死亡。 在描述了诺伯特·韦纳在与海盗作战时的死后，约翰·冯·诺依曼为皇帝制造了一台“
True,"{'confidence': 0.8322373759178061, 'final': True}",167,0.83,8,3, 《三体》系列小说的第一部续集《黑暗森林》开始了一个新的故事，描述了“蚊子舰队”的形成和四名被选中参加“面壁者计划”的人的故事。 这部小说本身讲述了对一艘名为“审判日”的船只的袭击，导致了古怪的迈克·埃文斯的死亡。 在描述了诺伯特·韦纳在与海盗作战时的死后，约翰·冯·诺依曼为皇帝制造了一台“
True,"{'confidence': 0.5782226139540573, 'final': True}",168,0.58,0,3, 请问是哪部作品中的故事？
True,"{'confidence': 0.558290225610279, 'final': True}",168,0.56,1,1, 请问是哪个故事的剧情？
True,"{'confidence': 0.5382724685734467, 'final': True}",168,0.54,2,2, 请问你是谁？
True,"{'confidence': 0.558210174103535, 'final': True}",168,0.56,3,5, 这个人是谁？
True,"{'confidence': 0.5562839086864908, 'final': True}",168,0.56,4,1, 这个人是李白。
True,"{'confidence': 0.6671627848168908, 'final': True}",168,0.67,5,2, 这个人是关羽。
True,"{'confidence': 0.6671627848168908, 'final': True}",168,0.67,5,2, 这个人是关羽。
True,"{'confidence': 0.4344032585062252, 'final': True}",169,0.43,0,1, 这部电影很好看。
True,"{'confidence': 0.9073349102014532, 'final': True}",169,0.91,1,2, 这部电影中的一位女演员即兴创作了一个场景，其中两个角色一边模仿鸡一边讨论埃莉诺的行动。
True,"{'confidence': 0.594163432259427, 'final': True}",169,0.59,2,9, 《Can't Help Falling in Love》是美国歌手埃尔维斯·普雷斯利（Elvis Presley）在1961年发行的歌曲。歌曲的旋律优美，歌词深情，成为经典的爱情歌曲之一。歌曲的旋律也被广泛地使用在电影、电视剧等影视作品中。
True,"{'confidence': 0.4755910849761203, 'final': True}",169,0.48,3,3, 请问你在说什么？
True,"{'confidence': 0.324304175958134, 'final': True}",169,0.32,4,7, 《寻找新家》
True,"{'confidence': 0.324304175958134, 'final': True}",169,0.32,4,7, 《寻找新家》
