weight,sentence,final,evidence,page,question,word
-0.00,0,False,"{'confidence': -0.00291437587355, 'final': False}",The Castle of Otranto,1,9
-0.27,0,False,"{'confidence': -0.272819123026975, 'final': False}",The Gold-Bug,1,15
-0.22,0,False,"{'confidence': -0.22344381232217997, 'final': False}",The Purloined Letter,1,22
-0.22,0,False,"{'confidence': -0.22341485841523334, 'final': False}",The Oval Portrait,1,29
-0.12,0,False,"{'confidence': -0.12225165504487999, 'final': False}",The Oval Portrait,1,35
-0.00,1,True,"{'confidence': -0.0013439944666666667, 'final': True}",The Oval Portrait,1,7
-0.09,1,False,"{'confidence': -0.09231675757454999, 'final': False}",The Oval Portrait,1,13
-0.11,1,False,"{'confidence': -0.1148396309031625, 'final': False}",Edgar Allan Poe,1,19
-0.24,1,False,"{'confidence': -0.244433653956, 'final': False}",Lifted Veil,1,25
-0.21,1,False,"{'confidence': -0.20608743868794166, 'final': False}",Lift (mathematics),1,31
-0.11,2,False,"{'confidence': -0.114496304134, 'final': False}",Lifted Veil,1,6
-0.19,2,False,"{'confidence': -0.18507848747427996, 'final': False}",Lift (force),1,14
-0.22,2,False,"{'confidence': -0.22350762269278, 'final': False}",Lift (force),1,20
-0.05,2,False,"{'confidence': -0.04984790867, 'final': False}",Veil,1,26
-0.00,2,True,"{'confidence': -0.00030409878500000005, 'final': True}",Veil,1,31
-0.00,2,True,"{'confidence': -0.00151492724, 'final': True}",Veil,1,38
-0.03,2,False,"{'confidence': -0.02764233465, 'final': False}",Veil,1,43
-0.02,2,False,"{'confidence': -0.019776511655000002, 'final': False}",Veil,1,49
-0.00,2,True,"{'confidence': -0.000351015547, 'final': True}",Veil,1,53
-0.00,2,True,"{'confidence': -0.000351015547, 'final': True}",Veil,1,53
-0.55,0,False,"{'confidence': -0.5475892351173333, 'final': False}",John Keats,2,5
-0.81,0,False,"{'confidence': -0.81308585, 'final': False}",None,2,12
-0.58,0,False,"{'confidence': -0.5817816, 'final': False}",None,2,17
-0.02,1,False,"{'confidence': -0.015010170755271668, 'final': False}",Samuel Taylor Coleridge,2,8
-0.00,1,True,"{'confidence': -1.4400666666666668e-07, 'final': True}",Langston Hughes,2,15
-0.00,1,True,"{'confidence': -1.6880966e-07, 'final': True}",Langston Hughes,2,20
-0.00,1,True,"{'confidence': -5.661552166666666e-07, 'final': True}",Langston Hughes,2,23
-0.00,2,True,"{'confidence': -2.0854421666666669e-07, 'final': True}",Langston Hughes,2,8
-0.00,2,True,"{'confidence': -6.453755e-08, 'final': True}",Langston Hughes,2,15
-0.00,2,True,"{'confidence': -2.2347576666666666e-07, 'final': True}",Langston Hughes,2,22
-0.00,2,True,"{'confidence': -2.2347576666666666e-07, 'final': True}",Langston Hughes,2,29
-0.00,2,True,"{'confidence': -2.0854421666666669e-07, 'final': True}",Langston Hughes,2,30
-0.00,3,True,"{'confidence': -2.4827876666666667e-07, 'final': True}",Langston Hughes,2,8
-0.00,3,True,"{'confidence': -1.6880966e-07, 'final': True}",Langston Hughes,2,14
-0.00,3,True,"{'confidence': -3.128163266666667e-07, 'final': True}",Langston Hughes,2,18
-0.00,4,True,"{'confidence': -8.293655500000001e-07, 'final': True}",Langston Hughes,2,8
-0.00,4,True,"{'confidence': -3.922854333333334e-07, 'final': True}",Langston Hughes,2,13
-0.00,4,True,"{'confidence': -2.9352969933333334e-06, 'final': True}",Langston Hughes,2,19
-0.00,4,True,"{'confidence': -2.9352969933333334e-06, 'final': True}",Langston Hughes,2,19
-0.00,0,False,"{'confidence': -4.41472109125e-05, 'final': False}",Edgar Allan Poe,3,6
-0.10,0,False,"{'confidence': -0.10200591429298597, 'final': False}",Thomas Holley Chivers,3,13
-0.18,0,False,"{'confidence': -0.181907875, 'final': False}",The Raven,3,18
-0.10,0,False,"{'confidence': -0.10048942335833333, 'final': False}",Thanatopsis,3,25
-0.05,1,False,"{'confidence': -0.046829361358999996, 'final': False}",Thomas Holley Chivers,3,5
-0.06,1,False,"{'confidence': -0.06164014600666667, 'final': False}",Ulalume,3,12
-0.18,1,False,"{'confidence': -0.17849030500000002, 'final': False}",The Raven,3,14
-0.07,2,False,"{'confidence': -0.065421593934, 'final': False}",Ulalume,3,7
-0.02,2,False,"{'confidence': -0.01560678399, 'final': False}",Ulalume,3,12
-0.00,2,True,"{'confidence': -5.652178133333333e-06, 'final': True}",Thanatopsis,3,17
-0.00,3,True,"{'confidence': -2.989962966666667e-06, 'final': True}",Thanatopsis,3,7
-0.00,3,True,"{'confidence': -2.3542102166666666e-06, 'final': True}",Thanatopsis,3,13
-0.00,3,True,"{'confidence': -2.0760683100000004e-06, 'final': True}",Thanatopsis,3,19
-0.00,3,True,"{'confidence': -2.910493883333333e-06, 'final': True}",Thanatopsis,3,27
-0.00,3,True,"{'confidence': -2.195271976666667e-06, 'final': True}",Thanatopsis,3,28
-0.00,4,True,"{'confidence': -1.2248113333333334e-05, 'final': True}",Thanatopsis,3,6
-0.00,4,True,"{'confidence': -2.3016179099999996e-05, 'final': True}",Thanatopsis,3,13
-0.00,4,True,"{'confidence': -1.0261386433333333e-05, 'final': True}",Thanatopsis,3,14
-0.00,4,True,"{'confidence': -1.0261386433333333e-05, 'final': True}",Thanatopsis,3,14
-0.00,0,False,"{'confidence': -0.00110480150765, 'final': False}",Cat's Cradle,4,7
-0.23,0,False,"{'confidence': -0.22619024553066666, 'final': False}",Gentrification,4,14
-0.15,0,False,"{'confidence': -0.14745961248529998, 'final': False}",David Copperfield (novel),4,17
-0.05,1,False,"{'confidence': -0.05168336784488, 'final': False}",Oliver Twist,4,6
-0.25,1,False,"{'confidence': -0.2519874272286667, 'final': False}",Fagin,4,12
-0.22,1,False,"{'confidence': -0.22030554940421668, 'final': False}",Oliver Twist,4,18
-0.09,2,False,"{'confidence': -0.08611379480421667, 'final': False}",Oliver Twist,4,6
-0.20,2,False,"{'confidence': -0.2044145645042167, 'final': False}",Oliver Twist,4,15
-0.10,2,False,"{'confidence': -0.10363621587088334, 'final': False}",Oliver Twist,4,17
-0.23,3,False,"{'confidence': -0.22579623185567996, 'final': False}",Tom Jones (character),4,6
-0.55,3,False,"{'confidence': -0.553919708, 'final': False}",Tom Crick,4,12
-0.24,3,False,"{'confidence': -0.237352028245325, 'final': False}",Tom Tulliver,4,14
-0.22,4,False,"{'confidence': -0.21538237551858333, 'final': False}",Tom Tiddler's Ground,4,7
-0.20,4,False,"{'confidence': -0.19748428309549995, 'final': False}",Tom Tiddler's Ground,4,14
-0.18,4,False,"{'confidence': -0.17774548854075, 'final': False}",Gabriel Betteredge,4,21
-0.00,4,True,"{'confidence': -0.000977581078075, 'final': True}",Silas Marner,4,23
-0.00,5,True,"{'confidence': -2.9421407000000003e-07, 'final': True}",Silas Marner,4,4
-0.00,5,True,"{'confidence': -4.7301957e-07, 'final': True}",Silas Marner,4,11
-0.00,5,True,"{'confidence': -1.5570512499999999e-06, 'final': True}",Silas Marner,4,18
-0.00,5,True,"{'confidence': -6.03421925e-07, 'final': True}",Silas Marner,4,21
-0.00,5,True,"{'confidence': -6.03421925e-07, 'final': True}",Silas Marner,4,21
-0.00,0,False,"{'confidence': -0.00016414389423333335, 'final': False}",Elegy,5,8
-0.00,0,True,"{'confidence': -0.002134461638566667, 'final': True}",Tone poem,5,16
-0.08,0,False,"{'confidence': -0.0849350159144857, 'final': False}",Façade (entertainment),5,22
-0.32,0,False,"{'confidence': -0.3189204579635, 'final': False}",Surrealism,5,28
-0.02,0,False,"{'confidence': -0.021798699467000002, 'final': False}",Elegy,5,36
-0.00,0,False,"{'confidence': -0.003151143638, 'final': False}",Elegy,5,42
-0.01,0,False,"{'confidence': -0.010012169753433333, 'final': False}",Tone poem,5,48
-0.05,0,False,"{'confidence': -0.048159426994000006, 'final': False}",Tone poem,5,55
-0.02,0,False,"{'confidence': -0.021771891333099997, 'final': False}",Tone poem,5,61
-0.00,0,True,"{'confidence': -6.138115576666667e-05, 'final': True}",Elegy,5,65
-0.00,1,True,"{'confidence': -2.7054171299999998e-05, 'final': True}",Elegy,5,8
-0.00,1,True,"{'confidence': -6.396390556666667e-05, 'final': True}",Elegy,5,13
-0.06,1,False,"{'confidence': -0.05525948915611444, 'final': False}",Elegy Written in a Country Churchyard,5,18
-0.00,1,True,"{'confidence': -5.661552333333333e-07, 'final': True}",Elegy,5,25
-0.00,1,True,"{'confidence': -2.4584823166666667e-06, 'final': True}",Elegy,5,31
-0.00,1,True,"{'confidence': -1.2813772000000002e-06, 'final': True}",Elegy,5,37
-0.00,1,True,"{'confidence': -1.2267110833333332e-06, 'final': True}",Elegy,5,45
-0.00,1,True,"{'confidence': -4.4452098833333335e-06, 'final': True}",Elegy,5,46
-0.00,1,True,"{'confidence': -4.4452098833333335e-06, 'final': True}",Elegy,5,46
-0.21,0,False,"{'confidence': -0.2051792442814, 'final': False}",Translation (literary),6,5
-0.19,0,False,"{'confidence': -0.193504325275, 'final': False}",William Shakespeare,6,13
-0.01,0,False,"{'confidence': -0.006866784111825, 'final': False}",William Shakespeare,6,20
-0.18,0,False,"{'confidence': -0.1764235133109125, 'final': False}",Jules Verne,6,26
-0.11,0,False,"{'confidence': -0.11271513627821333, 'final': False}",Sir Thomas Wyatt,6,29
-0.05,1,False,"{'confidence': -0.0462652032457375, 'final': False}",Jules Verne,6,6
-0.00,1,True,"{'confidence': -0.00016635303333333332, 'final': True}",Petrarch,6,12
-0.00,2,True,"{'confidence': -0.00011237701, 'final': True}",Petrarch,6,6
-0.00,2,True,"{'confidence': -0.00010657820666666666, 'final': True}",Petrarch,6,11
-0.00,2,True,"{'confidence': -2.9110496666666667e-05, 'final': True}",Petrarch,6,17
-0.00,2,True,"{'confidence': -3.757395666666667e-05, 'final': True}",Petrarch,6,21
-0.00,2,True,"{'confidence': -0.0004578152333333334, 'final': True}",Petrarch,6,27
-0.00,3,True,"{'confidence': -0.00020712350544333335, 'final': True}",Petrarch,6,8
-0.00,3,True,"{'confidence': -0.00037065079046666666, 'final': True}",Petrarch,6,13
-0.00,3,True,"{'confidence': -0.0007984100607333332, 'final': True}",Petrarch,6,19
-0.01,3,False,"{'confidence': -0.009828403006666667, 'final': False}",Petrarch,6,25
-0.00,3,True,"{'confidence': -0.0009114854387766665, 'final': True}",Petrarch,6,31
-0.00,3,True,"{'confidence': -6.710079283333333e-06, 'final': True}",Petrarch,6,36
-0.00,3,True,"{'confidence': -6.710079283333333e-06, 'final': True}",Petrarch,6,36
-0.13,0,False,"{'confidence': -0.12713537, 'final': False}",Novel,7,8
-0.19,0,False,"{'confidence': -0.188188366408165, 'final': False}",Faust,7,15
-0.04,0,False,"{'confidence': -0.044745214, 'final': False}",Russia,7,22
-0.65,0,False,"{'confidence': -0.6471254, 'final': False}",Russia,7,26
-0.00,0,True,"{'confidence': -0.00022415895, 'final': True}",Brazil,7,33
-0.00,0,True,"{'confidence': -0.0005476722, 'final': True}",Brazil,7,34
-0.00,1,True,"{'confidence': -7.89631e-07, 'final': True}",Brazil,7,6
-0.00,1,True,"{'confidence': -1.9816675e-06, 'final': True}",Brazil,7,12
-0.00,1,True,"{'confidence': -2.6968896e-06, 'final': True}",Brazil,7,19
-0.00,1,True,"{'confidence': -1.3856493e-06, 'final': True}",Brazil,7,25
-0.00,1,True,"{'confidence': -4.604148e-06, 'final': True}",Brazil,7,32
-0.00,1,True,"{'confidence': -2.220075e-06, 'final': True}",Brazil,7,38
-0.00,1,True,"{'confidence': -0.0019691966, 'final': True}",Brazil,7,44
-0.00,1,True,"{'confidence': -5.5122365e-07, 'final': True}",Brazil,7,47
-0.00,2,True,"{'confidence': -6.704273e-07, 'final': True}",Brazil,7,8
-0.00,2,True,"{'confidence': -4.3202e-07, 'final': True}",Brazil,7,14
-0.00,2,True,"{'confidence': -3.1281633e-07, 'final': True}",Brazil,7,21
-0.00,2,True,"{'confidence': -9.0883464e-07, 'final': True}",Brazil,7,26
-0.00,2,True,"{'confidence': -1.6240566e-06, 'final': True}",Brazil,7,30
-0.00,2,True,"{'confidence': -1.6240566e-06, 'final': True}",Brazil,7,30
